"","n_raw_reads","n_mapped_reads","expected_umis","ci_95_low","ci_95_high","dataset"
"117",1159999704.02335,955405572.989056,321772636.821766,321479575.567682,322065965.230922,"tenx_nextgem"
"118",1169999701.47183,963641827.928617,322846267.585231,322547276.817584,323145535.507533,"tenx_nextgem"
"119",1179999698.92031,971878082.868177,323910541.933258,323605491.257812,324215880.168455,"tenx_nextgem"
"120",1189999696.36879,980114337.807738,324965809.833006,324654567.071399,325277350.979624,"tenx_nextgem"
"121",1199999693.81726,988350592.747299,326010192.031021,325692623.258212,326328070.451388,"tenx_nextgem"
"122",1209999691.26574,996586847.68686,327044227.089184,326720196.670889,327368578.870263,"tenx_nextgem"
"123",1219999688.71422,1004823102.62642,328070193.624554,327739564.257029,328401156.536729,"tenx_nextgem"
"124",1229999686.16269,1013059357.56598,329086298.883231,328748931.635947,329424012.342012,"tenx_nextgem"
"125",1239999683.61117,1021295612.50554,330093030.703434,329748785.0614,330437635.725298,"tenx_nextgem"
"126",1249999681.05965,1029531867.4451,331091397.474708,330740131.381367,331443036.633959,"tenx_nextgem"
"127",1259999678.50813,1037768122.38466,332081832.631929,331723402.534675,332440650.016102,"tenx_nextgem"
"128",1269999675.9566,1046004377.32422,333063472.173883,332697733.070248,333429613.339446,"tenx_nextgem"
"129",1279999673.40508,1054240632.26379,334036447.065991,333663252.549289,334410058.992001,"tenx_nextgem"
"130",1289999670.85356,1062476887.20335,335000091.771609,334619294.078493,335381322.813565,"tenx_nextgem"
"131",1299999668.30203,1070713142.14291,335953718.014956,335565168.072601,336342717.85817,"tenx_nextgem"
"132",1309999665.75051,1078949397.08247,336897486.916676,336501034.390059,337294406.528353,"tenx_nextgem"
"133",1319999663.19899,1087185652.02203,337832965.504311,337428458.842721,338237957.085401,"tenx_nextgem"
"134",1329999660.64747,1095421906.96159,338760415.132716,338347701.618643,339173632.071059,"tenx_nextgem"
"135",1339999658.09594,1103658161.90115,339681201.341687,339260127.137894,340102798.163586,"tenx_nextgem"
"136",1349999655.54442,1111894416.84071,340594104.914463,340164515.113565,341024237.239313,"tenx_nextgem"
"137",1359999652.9929,1120130671.78027,341499353.568647,341061092.240036,341938178.060272,"tenx_nextgem"
"138",1369999650.44138,1128366926.71983,342397628.480556,341950538.717003,342845302.800161,"tenx_nextgem"
"139",1379999647.88985,1136603181.65939,343288370.961093,342832294.927088,343745053.721337,"tenx_nextgem"
"140",1389999645.33833,1144839436.59895,344170438.015044,343705216.994184,344636288.734225,"tenx_nextgem"
"141",1399999642.78681,1153075691.53852,345045045.877461,344570520.316475,345520224.931693,"tenx_nextgem"
"142",1409999640.23528,1161311946.47808,345912381.667361,345428391.222793,346397050.24597,"tenx_nextgem"
"143",1419999637.68376,1169548201.41764,346772543.983674,346278927.567275,347266864.044294,"tenx_nextgem"
"144",1429999635.13224,1177784456.3572,347625629.558923,347122225.38216,348129763.783337,"tenx_nextgem"
"145",1439999632.58072,1186020711.29676,348471733.30437,347958378.92261,348985845.054647,"tenx_nextgem"
"146",1449999630.02919,1194256966.23632,349310948.353838,348787480.709638,349835201.629374,"tenx_nextgem"
"147",1459999627.47767,1202493221.17588,350143366.10625,349609621.571899,350677925.501551,"tenx_nextgem"
"148",1469999624.92615,1210729476.11544,350969076.266952,350424890.686699,351514106.929713,"tenx_nextgem"
"149",1479999622.37462,1218965731.055,351789144.782117,351234353.51211,352344812.371168,"tenx_nextgem"
"150",1489999619.8231,1227201985.99456,352603427.54896,352037865.499036,353169898.195555,"tenx_nextgem"
"151",1499999617.27158,1235438240.93412,353411318.22992,352834819.903948,353988758.49898,"tenx_nextgem"
"152",1509999614.72006,1243674495.87368,354214018.594433,353626418.126995,354802595.443418,"tenx_nextgem"
"153",1519999612.16853,1251910750.81325,355011636.937431,354412768.13339,355611517.679744,"tenx_nextgem"
"154",1529999609.61701,1260147005.75281,355803146.325439,355192842.698748,356414498.59521,"tenx_nextgem"
"155",1539999607.06549,1268383260.69237,356585179.455599,355963274.269828,357208171.174975,"tenx_nextgem"
"156",1549999604.51396,1276619515.63193,357359651.1744,356725977.470831,357994450.510493,"tenx_nextgem"
"157",1559999601.96244,1284855770.57149,358127626.026205,357482016.659784,358774401.357443,"tenx_nextgem"
"158",1569999599.41092,1293092025.51105,358891371.093326,358233658.764872,359550290.973044,"tenx_nextgem"
"159",1579999596.8594,1301328280.45061,359649765.065958,358979782.360564,360320998.195047,"tenx_nextgem"
"160",1589999594.30787,1309564535.39017,360402432.996483,359720012.415365,361086148.189615,"tenx_nextgem"
"161",1599999591.75635,1317800790.32973,361148673.422712,360453647.415576,361845039.577614,"tenx_nextgem"
"162",1609999589.20483,1326037045.26929,361887811.866813,361180012.863031,362596997.933587,"tenx_nextgem"
"163",1619999586.65331,1334273300.20885,362621359.301672,361900619.736641,363343534.248386,"tenx_nextgem"
"164",1629999584.10178,1342509555.14841,363349382.539265,362615534.886173,364084715.32558,"tenx_nextgem"
"165",1639999581.55026,1350745810.08798,364071947.256543,363324824.055565,364820606.804725,"tenx_nextgem"
"166",1649999578.99874,1358982065.02754,364789118.020407,364028551.906342,365551273.187888,"tenx_nextgem"
"167",1659999576.44721,1367218319.9671,365500958.312011,364726782.041776,366276777.864086,"tenx_nextgem"
"168",1669999573.89569,1375454574.90666,366207530.55043,365419577.029789,366997183.133709,"tenx_nextgem"
"169",1679999571.34417,1383690829.84622,366908896.115697,366106998.424973,367712550.232573,"tenx_nextgem"
"170",1689999568.79265,1391927084.78578,367605198.263949,366789189.683031,368423022.247346,"tenx_nextgem"
"171",1699999566.24112,1400163339.72534,368299874.048724,367469588.073167,369132036.029326,"tenx_nextgem"
"172",1709999563.6896,1408399594.6649,368989610.919268,368144881.300874,369836278.818388,"tenx_nextgem"
"173",1719999561.13808,1416635849.60446,369675210.384953,368815871.144792,370536551.881491,"tenx_nextgem"
"174",1729999558.58655,1424872104.54402,370358941.948197,369484827.394824,371235124.45185,"tenx_nextgem"
"175",1739999556.03503,1433108359.48358,371037968.773245,370148913.53852,371929159.41667,"tenx_nextgem"
"176",1749999553.48351,1441344614.42314,371712345.822316,370808184.875134,372618711.432319,"tenx_nextgem"
"177",1759999550.93199,1449580869.3627,372382127.16227,371462695.829152,373303834.239321,"tenx_nextgem"
"178",1769999548.38046,1457817124.30227,373047365.983094,372112499.968352,373984580.681272,"tenx_nextgem"
"179",1779999545.82894,1466053379.24183,373707876.619414,372757412.025274,374660764.727924,"tenx_nextgem"
"180",1789999543.27742,1474289634.18139,374361729.333498,373395502.68521,375330456.263469,"tenx_nextgem"
"181",1799999540.72589,1482525889.12095,375011150.943307,374028999.193698,375995881.696313,"tenx_nextgem"
"182",1809999538.17437,1490762144.06051,375656191.407484,374657951.961858,376657090.564417,"tenx_nextgem"
"183",1819999535.62285,1498998399.00007,376296899.897486,375282410.630776,377314131.601472,"tenx_nextgem"
"184",1829999533.07133,1507234653.93963,376933324.813391,375902424.086905,377967052.75311,"tenx_nextgem"
"185",1839999530.5198,1515470908.87919,377565179.648545,376517706.327539,378615567.043284,"tenx_nextgem"
"186",1849999527.96828,1523707163.81875,378190923.01873,377126716.493333,379258132.607763,"tenx_nextgem"
"187",1859999525.41676,1531943418.75831,378812497.058133,377731397.244948,379896691.072158,"tenx_nextgem"
"188",1869999522.86523,1540179673.69787,379429171.076066,378331018.443433,380530511.232708,"tenx_nextgem"
"189",1879999520.31371,1548415928.63744,380040553.385699,378925188.96677,381159200.874276,"tenx_nextgem"
"190",1889999517.76219,1556652183.577,380647858.185261,379515123.585005,381783973.645974,"tenx_nextgem"
"191",1899999515.21067,1564888438.51656,381251129.00451,380100866.417821,382404872.519908,"tenx_nextgem"
"192",1909999512.65914,1573124693.45612,381850408.72262,380682460.947354,383021939.804567,"tenx_nextgem"
"193",1919999510.10762,1581360948.39568,382445739.580728,381259950.030057,383635217.158054,"tenx_nextgem"
"194",1929999507.5561,1589597203.33524,383037163.194193,381833375.908886,384244745.600407,"tenx_nextgem"
"195",1939999505.00458,1597833458.2748,383624720.564558,382402780.22447,384850565.526349,"tenx_nextgem"
"196",1949999502.45305,1606069713.21436,384208494.233963,382968246.169183,385452758.859586,"tenx_nextgem"
"197",1959999499.90153,1614305968.15392,384791704.326934,383532994.511794,386054545.078452,"tenx_nextgem"
"198",1969999497.35001,1622542223.09348,385371208.020879,384093883.117683,386652780.736863,"tenx_nextgem"
"199",1979999494.79848,1630778478.03304,385947043.804689,384650951.15768,387247503.673837,"tenx_nextgem"
"200",1989999492.24696,1639014732.9726,386519249.607416,385204237.252404,387838751.158875,"tenx_nextgem"
"201",1999999489.69544,1647250987.91216,387087862.808744,385753779.482649,388426559.90252,"tenx_nextgem"
"202",0,0,0,0,0,"leukopak"
"203",9999999.42145024,7304328.71195581,6427938.67831974,6158883.11355875,6708748.14319446,"leukopak"
"204",19999998.8429005,14608657.4239116,11984198.4840912,11674342.6299534,12302278.4115997,"leukopak"
"205",29999998.2643507,21912986.1358674,16935987.1153446,16639879.6659147,17237363.810909,"leukopak"
"206",39999997.685801,29217314.8478232,21438411.3400372,21171262.661086,21708931.0232505,"leukopak"
"207",49999997.1072512,36521643.559779,25578294.3815023,25342907.6827094,25815867.3684143,"leukopak"
"208",59999996.5287015,43825972.2717349,29425689.8505614,29220503.3304675,29632317.1914226,"leukopak"
"209",69999995.9501517,51130300.9836907,33027777.6796001,32849750.0522755,33206770.1190173,"leukopak"
"210",79999995.3716019,58434629.6956465,36415019.8948227,36260762.6987337,36569933.317664,"leukopak"
"211",89999994.7930522,65738958.4076023,39616159.4147871,39482385.5394519,39750386.5416035,"leukopak"
"212",99999994.2145024,73043287.1195581,42652306.1175787,42535991.1059873,42768939.1935097,"leukopak"
"213",109999993.635953,80347615.8315139,45540023.0182605,45438443.7692322,45641829.3512946,"leukopak"
"214",119999993.057403,87651944.5434697,48294393.3978889,48205117.837277,48383834.2962509,"leukopak"
